place,movie_title,rating,year,imdb_id,star_cast
24,City of God,8.579388471012287,2002,317248,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino"
25,Interstellar,8.57076263711179,2014,816692,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway"
26,Life Is Beautiful,8.568498098668506,1997,118799,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi"
27,The Green Mile,8.563231409452682,1999,120689,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan"
28,Star Wars,8.548224361333428,1977,76759,"George Lucas (dir.), Mark Hamill, Harrison Ford"
29,Terminator 2: Judgment Day,8.537875847147461,1991,103064,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton"
30,Back to the Future,8.517774307831088,1985,88763,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd"
31,Spirited Away,8.515974041771374,2001,245429,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette"
32,The Pianist,8.507466684906486,2002,253474,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann"
33,Psycho,8.506449900898929,1960,54215,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh"
34,Parasite,8.499808247094494,2019,6751668,"Bong Joon Ho (dir.), Song Kang-ho, Lee Sun-kyun"
35,Léon: The Professional,8.493380737741852,1994,110413,"Luc Besson (dir.), Jean Reno, Gary Oldman"
36,The Lion King,8.487895088784091,1994,110357,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons"
37,Gladiator,8.486997514237672,2000,172495,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix"
38,American History X,8.481775477903705,1998,120586,"Tony Kaye (dir.), Edward Norton, Edward Furlong"
39,The Departed,8.47612652115437,2006,407887,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon"
40,The Usual Suspects,8.46961639025438,1995,114814,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne"
41,The Prestige,8.469230835380163,2006,482571,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman"
42,Whiplash,8.468382856013308,2014,2582802,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons"
43,Casablanca,8.461602292560935,1942,34583,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman"
44,Harakiri,8.456190976086285,1962,56058,"Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama"
45,Grave of the Fireflies,8.456005038730238,1988,95327,"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi"
46,The Intouchables,8.453656190437938,2011,1675434,"Olivier Nakache (dir.), François Cluzet, Omar Sy"
47,Modern Times,8.447001559785782,1936,27977,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard"
48,Once Upon a Time in the West,8.440989139728734,1968,64116,"Sergio Leone (dir.), Henry Fonda, Charles Bronson"
49,Rear Window,8.43547853337078,1954,47396,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly"
50,Cinema Paradiso,8.435185677968255,1988,95765,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale"
51,Alien,8.433363346024853,1979,78748,"Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt"
52,City Lights,8.432397014975386,1931,21749,"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill"
